,screen_name,desc_bot,Days
187,VillanelleBot,0,614
188,USPRI,0,2354
189,ideabot,0,1107
190,BadArtThief,0,1022
191,fuckingbard,1,743
192,pixelsorter,0,940
193,ThreeCourseMeal,0,1233
194,Keifer67684948,0,27
195,artassignbot,0,1264
196,botsummittalks,0,880
197,ZinaJ26,0,75
198,zopuolond93,0,193
199,eAgreeTeam,0,944
200,EnjoyTheFilm,0,1834
201,_DJ_3000_,0,157
202,sunsetonari,0,291
203,infinitedeserts,1,683
204,jonttxoxoa,0,160
205,emojidreams,0,1007
206,CutePetsDenver,0,1134
207,porcadapalabra,0,1041
208,MelPogoMap,0,86
209,SimGenerator,0,1186
210,suaj30,0,131
211,YouAreCarrying,0,1017
212,Hollon1120,0,142
213,zackeryssuperz,0,131
214,RNAi_papers,1,874
215,mrsfishsfunkys,0,1998
216,LilSpellbook,0,696
217,theIntialCommit,0,152
218,brainchatbot,1,1229
219,henrysalomonlo1,0,191
220,RealHumanPraise,0,1258
221,CarminaO29,0,827
222,oiltrading_blog,0,109
223,rireljbeq,1,910
224,lepage155,0,27
225,_OutToSea_,0,53
226,freefollow20071,0,966
227,sitcom_o_matic,1,157
228,SortingBot,1,736
229,zorinlynx,0,3217
230,TurnsOutBot,0,707
231,randomRTBot,0,2906
232,ca_props_exe,1,151
233,JackTheAts,0,25
234,notallbots,0,1095
235,solidstateNMR,0,2269
236,Abbeyafb2017,0,27
237,PmapAarhus,0,113
238,NutcrackerRedux,0,1216
239,MindaHjello19,0,828
240,plzasm,0,1178
241,randomchordbot,1,1278
242,RylGme,0,828
243,SendNudes1099,0,27
244,ANH_Papers,0,942
245,PatriciaPlake,0,742
246,wildflowersbot,1,197
247,bobbysmith1189,0,50
248,king_chrisg10,0,111
249,TodayFinally,0,922
250,NarutoFans_Indo,0,1588
251,everysnake,0,1028
252,SlideSource,0,946
253,thinkpiecebot,1,594
254,5hmC_papers,0,911
255,botswifty,0,1076
256,PleaseRapAbout,1,874
257,scaevans25,0,78
258,thewaybot,0,1256
259,FalseFlagBot_,0,1277
260,AusGLAMBlogs,0,637
261,PlayLightsOut,0,1257
262,PubSnips,0,879
263,WhatTheFare,0,616
264,JEL_O_bot,1,1163
265,bioinfo_papers,0,1012
266,5oclockbot,0,1236
267,Circaenergy,0,651
268,HPricea93,0,131
269,nievesgilbert11,0,48
270,tyylleerrjjjjo,0,239
271,iaminigomontoya,0,2733
272,wikisext,0,998
273,everyadage,1,1035
274,youareherebot,0,700
275,blank_was_blank,1,1036
276,INTERESTING_JPG,0,1227
277,hotsootuff_bot,0,2215
278,franklin_pmiami,0,71
279,4myrealfriends,1,1143
280,wearable_things,0,1038
281,WeirdConvoBot,1,797
282,GameDesign101,0,1189
283,cummingforlrh,0,600
284,ReligiousRumors,0,1168
285,ceback84,0,430
286,lists_of_lists,0,247
287,hollowking360,0,638
288,RosesAreRedBot,1,245
289,1995Internet,0,951
290,everypunk,0,1039
291,sleeps_xmas,0,157
292,angelikaparnell,0,1476
293,MythologyButt,1,880
294,worstvsworst,0,885
295,wizarding_names,1,177
296,oldschoolflyers,1,746
297,StarttCallaghan,0,63
298,TXTADVNT_EXE,1,1010
299,mutilda,0,2925
300,Raffaelo14,0,27
301,drow_yreve,0,1020
302,CompBiolPapers,0,1135
303,NetflixSoundFX,0,1120
304,NYPLphotobot,1,457
305,a_xing_ebooks,1,782
306,microRNA_papers,1,942
307,ItCantFail,0,1199
308,100yearsrising,0,990
309,dnstats_agora,0,782
310,haikuthegibson,0,556
311,pearwin96,0,196
312,hapaxhegemon,0,1195
313,AnnaLoz42522982,0,27
314,westlife1219,0,1498
315,othello3579,0,2146
316,botarchaeo,1,1138
317,mjvocals,0,428
318,mekhislo,0,163
319,faapaednt24,0,160
320,WUedsefnd25,0,73
321,sextmanteau_bot,1,960
322,corporabrackets,0,430
323,PokeAlertMalmo,0,253
324,WrongRobot,1,957
325,CloudyConway,0,702
326,CyberEveryword,0,973
327,shea_leesa,0,30
328,nostrich_ebooks,0,1282
329,RenPeralta23,0,651
330,_The_Thief,1,1007
331,botanicalls,0,3327
332,NicenessBot,0,512
333,itsthisyear,1,1120
334,LettsScience,0,1788
335,AkashLahuKale7,0,342
336,MusicReviewBot,0,866
337,botALLY,0,1388
338,Opportunitweets,0,2964
339,BecauseBot,1,1235
340,scheideggermaia,0,966
341,thedreamstream,0,2842
342,_primes_,0,1288
343,ShakirVip,0,27
344,storum_alona,0,27
345,yannalynn29,0,68
346,TwoJournalists,0,788
347,DrAngryBot,1,683
348,howxisthatybot,0,1019
349,nz_quake,0,2968
350,OwenPallettSwap,0,145
351,mental_floss,0,2985
352,lawandorderexo,0,1262
353,ChIP_seq,0,912
354,LegoSpaceBot,0,877
355,judgxx,0,828
356,muejiiz1991,0,71
357,dwightmitchellz,0,131
358,exoslash,0,1277
359,trendagainst,0,1245
360,RestroomGender,1,651
361,jansfarmera,0,71
362,laobadengni,0,30
363,Gravity_Ireland,0,530
364,HEoxt25,0,176
365,EquestrianBot,0,1693
366,NailbiterBot,0,1115
367,edrad90,0,133
368,fluffmaster7000,0,79
369,TinyCrossword,1,894
370,businessman_exe,1,1027
371,supervocalic,0,1072
372,BioinformaticsP,0,1131
373,AvengerEngineer,0,721
374,flippedconcept,0,1189
375,rulesofcards,1,972
376,TransxnNoiseBot,0,776
377,future_junk,1,668
378,JusticeUmoren,0,25
379,follow3dcliff,0,267
380,johnettaj26,0,160
381,metagenomics,0,2431
382,choochoobot,0,393
383,mdmorrisx84,0,133
384,goldenratiobot,1,219
385,ionxhsuper,0,828
386,sRNAPapers,0,801
387,winter_py,0,1002
388,saikoa0709,0,1144
389,BMPBug,0,858
390,NeuroGen_papers,1,944
391,statementartist,0,1225
392,pooledseq,0,991
393,lesliehandsome,0,2173
394,RedScareBot,0,2782
395,AnimalVidBot,1,605
396,classifybot,0,451
397,fontcriticbot,1,645
398,QIMRBergh_pubs,0,2273
399,swimwear_,0,30
400,TC_papers,0,947
401,Inspire_Us,0,2560
402,LatinaEisenhow1,0,125
403,joaxt1985,0,432
404,RemarqueNYU,0,33
405,HanuAcademy,0,127
406,swear_bot,1,2873
407,GIFsofWikipedia,0,649
408,RoboRosewater,0,666
409,MacyJordan4,0,27
410,Slam140,1,671
411,ColorADayBot,0,1288
412,Indie_Dev_Bot,1,497
413,donniensdroopyi,0,133
414,aDNA_papers,0,1129
415,CointraqBot,0,1138
416,_posibot,0,183
417,Larissa_W28,0,211
418,LifehackLifehax,1,1306
419,InstrumentBot,0,385
420,DifferenceJoke,0,774
421,acrotowne,0,832
422,raviraju88,0,2717
423,AddAWordBot,0,1281
424,vike29,0,202
425,GraphicScoreBot,0,448
426,johnhall,0,2010
427,OMG_wikipedia,0,724
428,flahertymiragl2,0,50
429,SherriLucio,0,134
430,abotcalledquest,0,1078
431,metaphorminute,0,1794
432,aportraitofthe,1,1211
433,Na1U1AX56WrkBSc,0,62
434,LevelMccune,0,189
435,Tanya2558,0,66
436,zionb22,0,129
437,JEveryword,0,1036
438,PedanticMagick,0,1181
439,janicerogersz,0,75
440,emojidoll,0,1004
441,blahfuture,0,875
442,mnemosynetron,0,1003
443,cyclicdigmp,0,824
444,bangbangari9,0,328
445,Billy_W83,0,828
446,qaefr83,0,828
447,60008d2f8baa4d9,0,833
448,likesfrombutera,0,315
449,Acrostician,1,1057
450,forgetmebot,0,1233
451,yes_ofc,0,1001
452,botsburgers,1,361
453,maryland_vernon,0,188
454,coopaula_reedxx,0,102
455,justdidathing,0,681
456,realdinogenera,0,839
457,letsgovelo,0,425
458,HottestStartups,1,813
459,sabo_sabo21,0,27
460,foodie_dems,1,430
461,spiraesthetic,1,377
462,deandeandremwri,0,429
463,Rachelyxxxx,0,68
464,AnaiaaYh92naj,0,832
465,Georgia98208,0,1706
466,fantasticColinf,0,828
467,theveryword,0,1035
468,NerdGarbageBot,1,455
469,RamboRushes,0,27
470,jHYtseBot,1,2422
471,apparent_things,0,1056
472,Unicode_ebooks,0,1291
473,biorxiv_ecology,0,283
474,GenreMasher,1,606
475,auto_automata,0,630
476,fuckeveryword,0,1058
477,VerifiedBioBot,1,903
478,ImportantAnimal,0,909
479,AU_Prompts,0,1221
480,makarovwhc1994,0,95
481,butwithguns,1,377
482,cookeryBliss,0,907
483,man_products,1,696
484,adjectives_bot,1,36
485,vitamin_A_paper,0,565
486,realNYCbot,1,490
487,zguo0115_USyd,0,27
488,lettergamebot,0,393
489,Immunol_papers,0,947
490,jam_allenxx,0,160
491,Mzredd2K16,0,370
492,koiseujn20,0,828
493,ahmedmobarkqw,0,785
494,YoJSRr9J58SE6Zz,0,28
495,IMG2ASCII,1,871
496,genomeguardian,1,921
497,mcleanaitenbic2,0,59
498,FailureIsOK,0,151
499,pokemon_sokuho,0,245
500,IT_papers,1,1138
501,JadenLuAJ,0,65
502,the_ephemerides,0,614
503,Dentagama,0,1444
504,NRPS_papers,1,928
505,spellwithout,0,925
506,EdTaters,0,1288
507,ghost_things,0,1175
508,SilviaCeausu,0,581
509,lois_caskey,0,27
510,wadinfo_txt,0,1098
511,amiibo_oracle,1,1191
512,taizeutl1995,0,223
513,PROGRAMR_BAT,1,993
514,ebooks_goetia,0,472
515,SRMicro_papers,1,1130
516,BenghaziWord,0,997
517,Janalamar35,0,372
518,manygardens,1,685
519,viralhulk,0,798
520,hold_thepresses,0,2281
521,racismdetector,0,946
522,sailorclones,1,1100
523,colombia_bot,0,857
524,ebo_hayes,0,828
525,jrr9bNVRCcUXfa1,0,160
526,lava_mite,0,1153
527,WWE_Network_Bot,1,1027
528,ROBODRUDGE,1,1077
529,infinite_scream,0,542
530,TF_binding_bot,1,223
531,EMR_research,0,1138
532,wikishoutouts,0,662
533,Exome_seq,0,912
534,rrsarq,0,2961
535,b2a6813979744ac,0,833
536,Ferguson2426,0,188
537,keci256,0,97
538,drake_schanae,0,90
539,guijaoml,0,432
540,theseraps,0,913
541,FordPinesBot,1,528
542,untag_me,0,970
543,magicpixx,0,1234
544,alertmessages,0,2385
545,stevinbeijing,0,30
546,kaylawillis258,0,29
547,GRahamwbeeey,0,71
548,HeroGraveyard,1,152
549,big_ben_clock,0,2717
550,ismail_abaid,0,290
551,Tink0074,0,2775
552,Taimanglo2526,0,68
553,WYR_bot,0,301
554,GregorybBcreati,0,433
555,benjamin_ha2005,0,112
556,_ku_bot,1,125
557,YouLookNiceBot,1,658
558,hotspot_papers,0,1137
559,Exosaurs,0,1287
560,muahaha_bot,0,1160
561,AnoncoinPrice,0,918
562,nope_nooope,0,312
563,mrwrongbot,0,931
564,MassBudgetBot,0,591
565,biorxiv_cancer,0,281
566,yosefo25,0,430
567,Adamhuzz,0,1231
568,abretonoa,0,460
569,LACMAbot,0,223
570,SubbaEric,0,598
571,FuckYeahIrony,0,1506
572,JackMax002,0,25
573,cash_jobs_hope,0,846
574,LeannArtz,0,74
575,AutoFollowPeeps,0,1723
576,GodeauCottongim,0,69
577,DungeonCrawlr,0,822
578,SciTechRangers,0,2813
579,dogbreedbot,0,87
580,555uhz,0,1171
581,moonshotbot,1,553
582,YourADickRD,0,1141
583,Aerie,0,2926
584,FavThingsBot,0,1344
585,nondenotative,0,756
586,ErinChL,0,350
587,avadim11,0,1655
588,evanescence_exe,1,62
589,ShropshirePulse,0,772
590,GlitchLogos,1,400
591,MoMARobot,0,936
592,netflix_bot,1,1507
593,LandsatBot,1,700
594,meiosis_papers,0,1136
595,emojiidioms_txt,0,653
596,gokejian,0,305
597,akramEldesouky,0,2243
598,HundredZeros,0,1808
599,hartman_rob,0,1906
600,Botstache,0,1145
601,Rajesh37123986,0,28
602,GrinchPhonebook,0,740
603,regulon_papers,1,618
604,MIikoeml,0,193
605,cellendipity,0,287
606,earthquakeBot,1,2584
607,PlantEcologyBot,0,1377
608,skyree_21,0,120
609,dungeon_junk,1,677
610,Chevyluvr97,0,25
611,only_a_comment,0,1301
612,a10n_bot,0,141
613,WiseWrestlers,1,1096
614,CODEC_BOT,0,656
615,ryrykpop966,0,333
616,ArxivBot,0,526
617,Juaanda_SA,0,1810
618,G33k3rGeek,0,1242
619,modofanpage,0,1801
620,M_Richardsonzz,0,102
621,emily_testbot,0,772
622,opus_exe,0,1001
623,botmistress,0,716
624,xxarchive,0,468
625,GameCritBot,0,1340
626,Attack_On_Tita4,0,1109
627,WhatsOnSteam,0,296
628,max_kompressor,0,682
629,airport_exe,0,1014
630,VEGFRSSfeeds,0,2707
631,two_artists,0,858
632,PoGoCV,0,92
633,AgusBJ_GD,0,129
634,worm_papers,1,1125
635,NYPLpostcards,1,457
636,tldr_bot,0,975
637,badjokebot,1,1121
638,MakeAGifOf,0,1271
639,dariusbots,1,1135
640,onlineadvantag,0,80
641,everybird_,0,1023
642,Betelgeuse_3,0,2701
643,ceasedesistbot,0,702
644,V_and_A_Bot,0,879
645,pomological,1,691
646,FridayFridayBot,0,1338
647,RNA_seq,0,912
648,endingsummary,0,1049
649,hewenqiseven,0,29
650,zzbrittenybcraz,0,160
651,TheLegion24,0,70
652,holidaybot4000,0,632
653,GestaltungBot,1,697
654,big_cases,0,64
655,BestOfTheBots,0,1233
656,unchartedatlas,1,410
657,zoegoko25,0,129
658,ReadLaterBot,1,489
659,SketchCharacter,1,1048
660,binsumi,0,3053
661,Every_User_,0,849
662,DefiniteJoke,0,1014
663,knock2bot,1,775
664,WeBustedGhosts,0,797
665,IAM_SHAKESPEARE,0,2799
666,BrunoTSaraiva,0,172
667,TheAlotShepherd,0,634
668,xiehl16,0,193
669,fRIEND_ASKING,0,781
670,tomas_Sabo_,0,104
671,EctoHime,0,1514
672,emoji_haiku,1,628
673,very_scared,0,1212
674,contrarybot,1,680
675,LokkenGeorgie,0,71
676,iknowwwright,0,931
677,JlacyPeteswife,0,420
678,biorxiv_genetic,0,283
679,ctelyricsbot,1,298
680,neverwords,0,1046
681,JC_pathogenomic,0,837
682,Shadow_Bot_PKMN,1,1595
683,liketocontinue,0,507
684,mdurkinlv,0,679
685,thomp27,0,2931
686,rm_everyfile,1,324
687,clubstatuses,0,778
688,StckMrktStatus,0,1087
689,godtributes,0,1029
690,JPGglitchbot,1,873
691,dungeon_bot,0,1211
692,everyhaiku,1,881
693,MakingInvisible,1,410
694,PARANOIABOT,0,1192
695,Delee1087,0,45
696,nohemigbeei,0,828
697,VitaminNext,0,130
698,pikachaplin,1,381
699,Chell56704574,0,475
700,Two_Headed_Coin,0,156
701,ATArchiveBot,0,1174
702,JohnKorosec1,0,157
703,msturgeo1,0,416
704,HorizHealthShop,0,1567
705,EvoBehGe_papers,1,935
706,vipeeri,0,2831
707,desires_exe,1,780
708,qutont16,0,431
709,KennethTillma13,0,594
710,ziallarry_lilo,0,1702
711,FelicaBdesigner,0,280
712,Favstar_Bot,0,2630
713,NYT4thDownBot,0,1265
714,acrostik,0,1035
715,gachfocal,1,1008
716,Yoda_Bot,1,2424
717,MuseumBot,1,1054
718,nguyent69899248,0,25
719,wynellbrownz,0,201
720,abotthat,1,569
721,LSystemBot,0,991
722,botsrcool,1,1101
723,Marygarcia207,0,27
724,hplabs,0,527
725,cant_miss_it,0,702
726,twinsmodel,0,793
727,AwlTags,0,1285
728,zeiseema,0,1050
729,belsfreefollow,0,770
730,xzavierm18,0,211
731,RiyazBedrekar,0,28
732,baunvez28,0,71
733,ellygdesign,0,71
734,BrianIsNotABot,0,903
735,which_one_bot,1,438
736,metal_or_magic,1,696
737,hotter_exe,0,696
738,JasminPCv,0,303
739,zujiaaz17,0,828
740,mhzhai,0,2438
741,500dollarwords,0,146
742,N_ChuiYing,0,27
743,Rom_Adamsxx,0,828
744,FintechBot,1,2970
745,AutoCharts,1,1105
746,TCmiamey,0,274
747,OrangeYoshiOne,0,1022
748,BitcoinSpreads,0,1203
749,action_inaction,0,653
750,wucooagl,0,431
751,VeryOldTweets,1,872
752,whistleboca,0,763
753,mixed_reactions,0,396
754,MakeUSABotAgain,1,432
755,fruitWormPapers,0,886
756,g_emiamiz,0,102
757,masjones28,0,71
758,sugar_zine,0,27
759,asthma_papers,0,1135
760,PopMa98,0,30
761,monfactory_bot,0,254
762,MarlaQ93,0,828
763,boy2bot,0,562
764,BEd_UOIT,0,688
765,trutherbotpink,0,649
766,okcubot,0,331
767,JustDiedBot,0,1136
768,rrpxpqtlvrdpryO,0,266
769,one_piece_meige,0,2291
770,tiny_nutrition,0,153
771,GamesMemes,0,812
772,thesefutures,0,526
773,PlantBiologyNSP,1,2573
774,MattSwulinski,0,67
775,ohxeimoo,0,1054
776,YesYoureRacist,0,1648
777,SharenowEmord,0,58
778,GenerateACat,0,1052
779,BTCMaster,0,2534
780,nycpokemap,0,187
781,gameideamachine,1,1284
782,qoihaaqnd83,0,1560
783,LCorduleRealtor,0,886
784,POGOSouthCoast,0,202
785,maurita_super,0,75
786,Schnyder2885,0,188
787,TheSiliconHill,0,720
788,soft_focuses,0,576
789,Nathan60899955,0,95
790,postcards_past,1,414
791,zainulk87368485,0,27
792,wordassocbot,0,1023
793,ClickerMaker,0,1177
794,Taz_Aadam,0,25
795,DannyDevitoBot,0,870
796,TaylorMichaell,0,27
797,mfw_sh,0,372
798,loritas16,0,133
799,koreygonzalezi8,0,1559
800,robotuaries,0,1280
801,AJchica84,0,133
802,Joyce_Ross86,0,828
803,RunnersKaskus,0,1673
804,traedwardsx,0,163
805,newmantras,1,1015
806,ERIKSGT,0,1306
807,phagepapers,1,914
808,TravelTacticsUK,0,45
809,dscovr_epic,1,535
810,SaveHumanities,0,1218
811,BLjellox,0,71
812,IrlbeckFleming,0,51
813,botsplain,0,606
814,CandisAide,0,129
815,lilboysivan,0,258
816,everycanontroll,1,1036
817,custom_ms,0,947
818,sweetgirl4355,0,446
819,Botston,0,650
820,thematchbot,0,1029
821,brayanh27,0,827
822,AppreciationBot,0,1054
823,Naruto__bot,0,2645
824,XOahoveck,0,828
825,SoniaSlunaker,0,64
826,thegrugq_ebooks,0,1069
827,KellyKasula,0,88
828,plot_o_matic,0,147
829,IndyPokeAlertNE,0,141
830,everysplain,0,830
831,PRAYSSURANDO,0,728
832,AZRERockStar,0,2088
833,everyword,0,3417
834,uncle_nintendo,0,1101
835,ASplant_papers,0,937
836,quest_glitches,0,637
837,jalpmiam,0,113
838,botlang,0,1028
839,EldqAdamsi,0,212
840,cohesin_papers,0,1052
841,thenewharperlee,0,670
842,EffDonaldTrump,0,149
843,BabellingBorges,0,1259
844,oneiropoiesis,0,1190
845,dumpmon,1,1498
846,Germanwordfor,0,1227
847,we_didnt_start,1,526
848,FEveryStartup,0,675
849,_smile_bot_,1,933
850,Nematode_papers,1,872
851,mitosis_papers,0,1130
852,Deer_ebooks,1,907
853,transcriptomes,0,799
854,evryshadeofgray,1,862
855,J_D_Landis,0,1704
856,TheChocolateMoo,0,1733
857,landscapesorter,1,154
858,paulenec22,0,828
859,3D_Genome,1,1138
860,botacokewith,0,320
861,ml_applications,0,750
862,goevtal,0,432
863,TheHackerBOT,0,345
864,badboy_11122,0,365
865,UfklBot,0,513
866,PoGoSanteeCA,0,58
867,journeybot,1,623
868,tozid16,0,237
869,tennerKymberly_,0,429
870,Psykokwak_fr,0,956
871,botathon,0,606
872,countdown_omen,0,1294
873,loveastrologers,0,1346
874,jacobletsplay,0,246
875,everywordisgay,0,1031
876,HAL_4500,1,154
877,Yolowbot,0,889
878,vikram_ghanote,0,786
879,ANamariao89,0,187
880,TheBotOfMormon,0,1207
881,NotXbut,0,991
882,cleoraobnowx,0,167
883,received_wisdom,0,933
884,portmanteau_bot,0,1149
885,WinnifredCouret,0,74
886,PYRAMID_CEO,0,997
887,medrobot,1,690
888,EveryBookBot,1,957
889,colsci_papers,0,1138
890,khalilecrazy,0,827
891,BioinfoPapers,0,1030
892,PhilaMuseumBot,1,937
893,JaveriyaShaikh4,0,27
894,TOisiosr1989,0,71
895,everycurd,0,953
896,techiecorner,0,132
897,swisnf,0,351
898,PassportReviews,0,93
899,KashubaEsposito,0,67
900,Iraqiboy313,0,65
901,VanityScience,0,1203
902,ILYguyss,0,767
903,ribosome_papers,0,938
904,CrashBurnRepeat,0,44
905,Businewss_Bot,0,933
906,UshaLzz,0,431
907,MiraculousPics,1,1102
908,biorxiv_neursci,0,283
909,DeepdreamBot,0,643
910,bbbbbbbbbbbaka,0,216
911,Imtheotherok2,0,783
912,biorxiv_pubd,0,257
913,BioPapers,0,2555
914,AndNowImagine,1,1231
915,PrinceOfAllBots,0,1310
916,autotweetbots,0,282
917,zou_wan,0,56
918,LOilepind,0,176
919,siexaij95,0,194
920,IShotTheX,0,875
921,SGPokemon,0,260
922,merrey90,0,223
923,___said,0,908
924,ELialexanderey,0,106
925,EveryFinnishNo,1,906
926,emilyvanderbot,0,380
927,chrturner22,0,176
928,neuralgae,1,498
929,crossddestinies,1,919
930,holdon_magnolia,1,102
931,HatawayDavies,0,60
932,cichlid_papers,1,933
933,NeverGiveUp_EN,1,1011
934,congressedits,1,1005
935,X_of_Y,0,1125
936,Bot_of_Jonathan,0,1561
937,celand82,0,71
938,BrainDev_Papers,1,941
939,biorxiv_sysbio,0,283
940,CancerPapers,0,663
941,SaintSeiya4Ever,0,2080
942,ComicSansWords,0,973
943,bizedav25,0,405
944,Tatiannajakayl1,0,27
945,lao232,0,1294
946,AwesomeJalapeno,0,25
947,eventuallybot,1,916
948,CambsPokeAlert,0,230
949,HOzaara22,0,429
950,overwatch_exe,1,308
951,wisdom_exe,1,238
952,loops_enhancers,0,820
953,BestOfRHP,0,1250
954,lazont26,0,828
955,GameOfLifeBot,1,905
956,softlandscapes,0,407
957,DigitalSkyz,0,523
958,a_quilt_bot,0,943
959,BrandLover7,0,1095
960,sextexchange,0,1162
961,PERMUTANT,0,1170
962,gritty_rebot,1,1028
963,modernart_exe,0,580
964,ZEazr1987,0,432
965,alt_text_bot,0,723
966,TE_papers,1,1124
967,TheCitizenKanes,0,1319
968,zaynecgray83,0,436
969,zozioevd,0,106
970,NaiveQuestions,0,1005
971,madamezolbot,0,1227
972,JohnOliverBot,0,590
973,pipika_bot,1,2292
974,ComicBookTalks,0,2402
975,tinydnd,0,567
976,NatureArticles,0,1503
977,tahjaylee,0,52
978,bxv_cell,0,315
979,jajlang,0,646
980,BoatNameBot,1,1107
981,debbyr83,0,431
982,cat_namer,0,151
983,bexley2222,0,475
984,Goombot,0,1183
985,garbageemoji,0,873
986,ShamielAlli,0,27
987,JustToSayBot,0,1365
988,biorxiv_cellbio,0,281
989,Graceful_Dolans,0,305
990,kazi_quaide,0,34
