id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,default_profile,status,default_profile_image,has_extended_profile,name,bot
2717905134,2717905134,everycheese,cheese land,"cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider",https://t.co/0cV8vQsQSV,52,1,12,8/8/2014 20:23,0,FALSE,111,en,FALSE,,FALSE,FALSE,all of the cheese,1
2826073429,2826073429,gyr_papers,,"Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.",None,3,1,4,9/22/2014 9:46,0,FALSE,247,en,TRUE,,TRUE,FALSE,gyrpapers,1
1027583707,1027583707,AjstyleAlen,,,None,4,227,0,12/22/2012 2:18,0,FALSE,1,en,TRUE,,TRUE,FALSE,Alen Alex,1
8.41E+17,8.41E+17,Rupesh93505,,,None,0,48,0,3/12/2017 1:06,0,FALSE,0,en,TRUE,,FALSE,FALSE,Rajesh prajapati,1
3032363298,3032363298,hard_to_yelp,,,None,111,0,16,2/20/2015 8:23,0,FALSE,17305,en,TRUE,,FALSE,FALSE,how hard is it to,1
2568851552,2568851552,fuckeverywordza,,"Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.",None,255,0,25,6/15/2014 11:20,0,FALSE,31721,en,TRUE,,FALSE,FALSE,fuck every word z-a,1
2954704090,2954704090,yeahTonyaGonzal,"Pensacola, USA","Musician, vegan, animal rights activist.",None,24,2278,1,1/1/2015 11:47,342,FALSE,434,en,FALSE,,FALSE,FALSE,yeahTonyaGonzal,1
2835723644,2835723644,ecin_gnihtaseod,,"straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted",https://t.co/iEclQxz694,178,0,24,9/30/2014 4:56,0,FALSE,21506,en,TRUE,,TRUE,FALSE,ÇÉ”á´‰u,1
1918202534,1918202534,tofu_product,,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,None,10045,11402,195,9/29/2013 21:35,328,FALSE,65022,en,TRUE,,FALSE,FALSE,tofu,1
2475875424,2475875424,onetruewiseman,AMERICA,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,None,24,4,8,5/3/2014 19:04,4,FALSE,6230,en,FALSE,,FALSE,FALSE,One True Wise Man,1
1909219404,1909219404,everycolorbot,the RGB color space,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,https://t.co/ICFGFTYbjQ,113376,0,1060,9/26/2013 21:22,2,FALSE,31407,en,TRUE,,FALSE,FALSE,Every Color,1
4040207472,4040207472,himawari8bot,Space,Unofficial; imagery courtesy: Japan Meteorological Agency (https://t.co/lzPXaTnMCi) and CIRA (https://t.co/YksnDoJEl8). Bot by @__jcbl__,https://t.co/OSHkLQWgKQ,2993,3,174,10/27/2015 23:06,4,FALSE,8065,en,FALSE,,FALSE,FALSE,himawari8bot,1
3369547257,3369547257,emoji__polls,â˜ï¸,A silly bot by @fourtonfish @botwikidotorg. Image credit: https://t.co/X3tmC9y6oI,https://t.co/OqsKPUkiXl,470,2,21,7/10/2015 18:30,6,FALSE,10812,en,FALSE,,FALSE,FALSE,EMOJI POLLS!,1
2555847008,2555847008,everytrolltroll,,exposing the BLATANT HYPOCRISY of @everycanontroll // because @thricedotted was just THAT ANGRY about it,None,27,1,10,6/9/2014 1:33,0,FALSE,145,en,TRUE,,FALSE,FALSE,EveryCanonTrollTroll,1
2520449720,2520449720,hyphizer,#botALLY,"New words, from time to time. By @derekarnold",None,191,2,19,5/24/2014 13:13,0,FALSE,5684,en,FALSE,,FALSE,FALSE,hyphizer,1
8.29E+17,8.29E+17,GreenwadeGema,,secr,None,1,32,1,2/6/2017 14:07,66,FALSE,114,en,TRUE,,FALSE,FALSE,Gema Greenwade,1
2886558632,2886558632,par_papers,,"Twitterbot of #Parasitology papers in PubMed, bioRxiv, and PeerJ PrePrints. Image from http://t.co/zYv7ygHs2U. Run by @FilipHusnik",None,713,0,38,11/1/2014 17:27,0,FALSE,21330,en,FALSE,,FALSE,FALSE,Parasitology papers,1
2787206222,2787206222,everyMTGlegend,The Coast Where Wizards Chill,tweeting every legendary MTG card (as of 10/2015) task complete in ~1 year,None,39,45,7,9/3/2014 3:39,0,FALSE,191,en,FALSE,,FALSE,FALSE,every MTG legend,1
2364079946,2364079946,assembly_papers,,Papers on directed and self assembly,None,334,56,36,2/27/2014 12:09,22,FALSE,30262,en,TRUE,,FALSE,FALSE,assemblypapers,1
3369559252,3369559252,DeepDreamThis,"London, England",Tweet me a picture and I'll #deepdream it for you! Tweet '-me' and I'll dream your avatar! List of commands here: http://t.co/BRfLYAkWBA,https://t.co/BvForGsKZn,1302,2,93,7/10/2015 17:20,0,FALSE,24199,en,TRUE,,FALSE,FALSE,Deep Dream This,1
4766927149,4766927149,baron777111,,,None,0,54,0,1/16/2016 5:57,0,FALSE,0,en,TRUE,,TRUE,FALSE,Baron Baugh,1
4855573727,4855573727,BestOpinionPoll,,express your opinion on hopelessly mundane things with the highest-quality polls this side of Twitter. A project by @_Ninji.,None,60,0,5,1/28/2016 0:53,2,FALSE,1782,en,TRUE,,FALSE,FALSE,Best Opinion Polls,1
2593449065,2593449065,dstroyeveryword,,Destroy every word in the english language. Task was completed when the world ended in 2017. By @dangeredwolf.,https://t.co/z3Jq9kVqnv,4604,2,83,6/8/2014 23:52,587,FALSE,111368,en,FALSE,,FALSE,FALSE,destroy every word,1
7.61E+17,7.61E+17,917_7513,,Sports,None,1,53,0,8/4/2016 11:42,9,FALSE,23,en,TRUE,,TRUE,FALSE,(917) 615-7513,1
1892842986,1892842986,snowcloneminute,,"A mashup of http://t.co/Tdj0YYLDOM and http://t.co/VSKfYVAJ21, another weird Internet thing by @air_hadoken.  Have a snowclone to add? Tweet it @air_hadoken!",http://t.co/ra5ecpWw95,174,2,74,9/22/2013 7:42,64,FALSE,577314,en,TRUE,,FALSE,FALSE,Snowclone-a-Minute,1
2540286551,2540286551,NESGarbageBot,,Tweets randomly-generated 16x16 images using the NES color palette. Images are resampled for your viewing pleasure.,None,32,1,12,5/11/2014 3:58,0,FALSE,6181,en,TRUE,,FALSE,FALSE,NES Garbage Bot,1
2751246980,2751246980,BklynMuseumBot,"Brooklyn, NY","I am a bot that tweets one random object from the Brooklyn Museum collection, four times a day. Bot by @backspace (not affiliated with @brooklynmuseum)",https://t.co/dI4aTIAcQm,1010,1,51,8/21/2014 4:08,0,FALSE,3842,en,FALSE,,FALSE,FALSE,Brooklyn Museum Bot,1
7.72E+17,7.72E+17,clitoscope,,A compendium of newly discovered species of clitoris // by @startuple #botALLY,https://t.co/lq7rOoR2LL,126,10,10,9/3/2016 22:40,10,FALSE,690,en,FALSE,,FALSE,FALSE,Clitoris Vulgaris,1
7.06E+17,7.06E+17,feud_exe,,Name something by @irondavy,None,232,1,24,3/5/2016 3:44,1,FALSE,4653,en,FALSE,,FALSE,FALSE,Survey Says,1
2835394560,2835394560,vaporfave,,Tweets ~10 times a day between 8am-10pm PST. Will probably get more vaporwave-y as time goes by. Complaints: @beaugunderson,None,702,118,66,9/29/2014 3:48,8,FALSE,16112,en,FALSE,,FALSE,FALSE,Vaporfave,1
4825082233,4825082233,peabero89,"Van Horn town, TX, USA",Middle age is youth without levity; and age without decay.,None,6,692,0,1/28/2016 10:23,54,FALSE,96,en,TRUE,,FALSE,FALSE,peabero89,1
4452780559,4452780559,UcOVJ4xlZaGwtKm,,,None,93,1208,0,12/4/2015 12:14,2,FALSE,2,en,TRUE,,FALSE,FALSE,æ˜Žå“¥,1
2821046862,2821046862,moonmurmur,the sky and all of space,"[@thricedotted's subconscious, possibly]",https://t.co/iEclQxz694,1044,0,40,9/20/2014 5:03,0,FALSE,12674,en,FALSE,,FALSE,FALSE,"whispers, for moon",1
2477378850,2477378850,AttentiveBot,Tended to by @dphiffer,"You may have missed some things, I will help you find them.",https://t.co/ZdrJT42Wuv,399,677,20,5/4/2014 20:46,64,FALSE,26073,en,FALSE,,FALSE,FALSE,AttentiveBot,1
6.99E+17,6.99E+17,vocalsvt, â‰« VlNTAEGE,"hi! @VlNTAEGE gave you this free follow and i hope you'll follow my main acc, i want to get to know more people! have a good day â¤ï¸",https://t.co/mtIwsCfDXP,385,3488,0,2/14/2016 20:43,46,FALSE,348,en,FALSE,,FALSE,FALSE,free follow|read bio,1
8.39E+17,8.39E+17,249_4665,,,None,2,96,0,3/8/2017 15:26,3,FALSE,0,ar,TRUE,,TRUE,FALSE,+249 11 498 4665,1
201143023,201143023,Ttimmson74,"Virginia, USA",,None,1,140,0,10/11/2010 5:12,2,FALSE,11,en,TRUE,,TRUE,TRUE,Tamica brown,1
8.21E+17,8.21E+17,LondonPogoMap,London,Rare and strong PokÃ©mon in London. See more PokÃ©mon at https://t.co/rqjskg5pkE,https://t.co/rqjskg5pkE,1876,0,19,1/16/2017 9:47,12,FALSE,106043,en,TRUE,,FALSE,FALSE,London PokÃ© Alert,1
2787454512,2787454512,CrisprPhages,,"A twitterbot posting the latest pubmed publications on CRISPRs, phages, virusses and prophages.",None,37,1,6,9/3/2014 7:58,0,FALSE,547,en,TRUE,,TRUE,FALSE,Phages & Crisprs,1
8.40E+17,8.40E+17,forestgen,soothing forest,tweet me to get your own unique peaceful forest.  stay calm. created by @jshxe,None,15,1,3,3/8/2017 16:17,0,FALSE,96,en,FALSE,,FALSE,FALSE,peaceful forest bot,1
2360241721,2360241721,phy_papers,,"Continuous feed for phylogenetics papers from PubMed, arXiv, bioRxiv, and PeerJ PrePrints. Run by @RobLanfear",None,1543,1,46,2/25/2014 0:39,0,FALSE,15726,en,FALSE,,FALSE,FALSE,phypapers,1
177684507,177684507,rnomics,France,"#RNomics, #RNA biology, RNA #bioinformatics, #RNA_World & #evolution, technologies & resources, daily papers: https://t.co/UaH05PfPIt & https://t.co/cuczvAA7dr",http://t.co/DAUEXVEsnC,1849,101,260,8/12/2010 20:13,140,FALSE,130473,fr,FALSE,,FALSE,FALSE,Fabrice Leclerc,1
8.41E+17,8.41E+17,woloshinj_buzz,,,None,1,59,0,3/13/2017 13:51,0,FALSE,1,en,TRUE,,TRUE,FALSE,Buzz,1
2293077919,2293077919,DiGRAThemes,Snowbird,DiGRA 2014 Theme Generator. // by @ibogost,http://t.co/3YCdkWQbiL,82,49,10,1/15/2014 18:05,0,FALSE,16728,en,FALSE,,FALSE,FALSE,DiGRA Themes,1
7.82E+17,7.82E+17,Twisted_Maglion,,âˆžo juzgues mis decisonescuando no conoces las razones.,None,2,17,0,10/2/2016 5:14,82,FALSE,167,en,TRUE,,FALSE,FALSE,Coralie Maglione,1
8.34E+17,8.34E+17,shantae_stubby,,ilove myparents more thaneverything,None,0,20,0,2/21/2017 1:28,55,FALSE,79,en,TRUE,,FALSE,FALSE,Shantae Stubby,1
3069631373,3069631373,super_jeopardy,,"This! Is! Jeopardy! I'm your host Alex Trebek and love wrong, she catches a train, literally. (by @alicemazzy)",None,77,1,14,3/4/2015 10:41,0,FALSE,4438,en,FALSE,,FALSE,FALSE,Jeopardy! Stumpers,1
2398623474,2398623474,Speed_1994,"LA, FIRST TIME!",tweets on the :50 // with love by @ems,https://t.co/rLAYPiwK68,398,6,16,3/20/2014 0:34,1,FALSE,13102,en,FALSE,,FALSE,TRUE,Speed (1994),1
8752222,8752222,TheUniverse,Los Angeles,AKA @YACHT / @5everydayla / @terraformsf / â™€ computer book forthcoming @penguinrandom,https://t.co/tWgh9OkgkK,7314,464,204,9/8/2007 21:12,5166,TRUE,3354,en,FALSE,,FALSE,FALSE,â‚ ,1
2553194245,2553194245,everywordNYT,,All the news that fit in @everyword. Tribute bot by @robdubbin.,None,71,0,15,6/7/2014 19:34,1,FALSE,29109,en,TRUE,,FALSE,FALSE,everywordNYT,1
1945747520,1945747520,Exoriders,,"They scour the exoplanets for dinosaurs and when they find them, THEY RIDE THEM. New Exoriders at five after, chasing the @Exosaurs forever. Bot by @robinsloan.",None,111,1,21,10/8/2013 2:56,0,FALSE,19770,en,TRUE,,FALSE,FALSE,Exoriders,1
2479314061,2479314061,onlymanthings,MANLAND,MAN THINGS THAT ONLY MEN UNDERSTAND // by @thricedotted,None,121,0,22,5/6/2014 5:26,0,FALSE,5614,en,TRUE,,FALSE,FALSE,men only,1
4853365872,4853365872,maximotxx,"Sandia, NM, USA",Knowledge Is Free.,None,2,628,0,2/3/2016 9:40,49,FALSE,171,en,TRUE,,FALSE,FALSE,Maximo Thompson,1
7.84E+17,7.84E+17,violajacobs2414,,I want you to know thatI am both happy and sadand I'm still trying to fgure out how that could be.,None,0,19,0,10/7/2016 18:02,84,FALSE,129,en,TRUE,,FALSE,FALSE,Viola Jacobs,1
302049050,302049050,Lake5Media,"New York, NY 10022",L5M is a provider of advanced software analytical services to the media industry. Clients include the largest firms in the industry. Please follow our progress.,http://t.co/UIKcwgkCu3,16,21,0,5/20/2011 14:22,0,FALSE,20,en,FALSE,,FALSE,FALSE,Lake 5 Media,1
3384759783,3384759783,crystalliser,,coagulated by @dead_cells,https://t.co/jF2cCmC5wy,24,0,7,7/20/2015 18:46,0,FALSE,63,en-gb,FALSE,,FALSE,FALSE,crystalliser,1
393504310,393504310,SeethingVortex,Pacific States of America,Please let us leave. We hate each other.,https://t.co/odolBlyyWR,133,194,53,10/18/2011 16:49,86339,FALSE,14199,en,FALSE,,FALSE,TRUE,Sgt Hugo Stiglitz,1
174958347,174958347,Horse_ebooks,,Horse ebooks,http://t.co/pVoIka58TM,175264,14891,1824,8/5/2010 7:18,1,FALSE,18833,en,TRUE,,FALSE,FALSE,Horse ebooks,1
2305621754,2305621754,FMKVote,The Internet,"HOW TO VOTE: reply to a tweet with 'F' 'M' and 'K' in the order you want to vote. ('MFK' = marry, fuck, kill). A bot by @tinysubversions",None,725,1,28,1/22/2014 23:34,0,FALSE,2576,en,TRUE,,FALSE,FALSE,"Fuck, Marry, Kill",1
7.48E+17,7.48E+17,biorxiv_evobio,,,None,226,0,7,6/29/2016 18:43,0,FALSE,537,en,TRUE,,FALSE,FALSE,bioRxiv Evobio,1
1885568064,1885568064,BoazimBot,"Boston, MA","I'm too lazy to update @boazims, so I wrote a bot to do it for me. Tweets hourly. By @tinysubversions.",None,130,0,37,9/20/2013 6:38,0,FALSE,30644,en,TRUE,,FALSE,FALSE,Boazim Bot,1
2808482336,2808482336,ClipArtBot,,"Tweet a picture at me and I'll reply with an improved version! Bot by @_Ninji, art from http://t.co/vUU2SFoL66 [Temporarily broken due to Twitter rate limits!]",None,1315,1,117,9/14/2014 1:31,0,FALSE,64582,en,TRUE,,FALSE,FALSE,Clip Art Bot,1
7.49E+17,7.49E+17,gotogyuterte,@gyuterte,@gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte,None,110,1761,0,7/3/2016 1:22,12,FALSE,4,en,TRUE,,FALSE,FALSE,Follow @gyuterte,1
7.99E+17,7.99E+17,libraryofvivec,,artisanal bot by @Objelisks,https://t.co/qguhPByJBB,17,0,6,11/16/2016 8:04,0,FALSE,2022,en,FALSE,,FALSE,TRUE,Library of Vivec,1
3945972795,3945972795,ItMeIRL,,i'm a bot by @corbindavenport that mirrors the latest posts from /r/me_irl,https://t.co/DcrWZiIDiw,134147,4,703,10/13/2015 11:30,0,FALSE,15786,en,FALSE,,FALSE,FALSE,me irl,1
7.79E+17,7.79E+17,Rober4628,,,None,9,349,0,9/22/2016 20:55,5,FALSE,7,en,TRUE,,FALSE,FALSE,Robert Elliott,1
8.26E+17,8.26E+17,aura_mazon,,ZONA OPERATIV DE DEFENSA NEGRAL NÂ° 63,None,0,39,0,1/29/2017 3:59,67,FALSE,82,en,TRUE,,FALSE,FALSE,Aura Mazon,1
2533978033,2533978033,MBPoGoAlert,"Myrtle Beach, SC",Pokemon Go Alerts in the Myrtle Beach Area!  Conway: @ConwayPoGoAlert North Myrtle: @NMBPoGoAlert Loris/Green Sea: @LorisPoGoAlert Carolina Forest: @CFPoGoAlert,None,295,5,1,5/30/2014 2:51,1,FALSE,22739,en,TRUE,,FALSE,FALSE,Pokemon Go,1
2607163646,2607163646,tiny_star_field,,"i produce a small window of stars periodically throughout the day and night // (inquires, @katierosepipkin)",None,106953,5391,1084,7/6/2014 9:21,381,FALSE,8314,en,FALSE,,FALSE,FALSE,â‹†âœµtiny star fieldsâœµâ‹†,1
516047986,516047986,pentametron,Stratford-upon-Internet,With algorithms subtle and discrete / I seek iambic writings to retweet.,http://t.co/yk15FkTz2X,23713,2,661,3/6/2012 1:10,120,FALSE,59081,en,TRUE,,FALSE,FALSE,Pentametron,1
2359455914,2359455914,ArkhamSingles,"Arkham, Massachusetts","Because even in a sunken, dead city things can be lonely. By @polm23",None,43,1,13,2/24/2014 12:51,5,FALSE,27389,ja,TRUE,,FALSE,FALSE,Arkham Singles,1
8.11E+17,8.11E+17,NYC_Newswire,"Brooklyn, NY",NYC Newswire Service,https://t.co/AhhYFK0b5Q,9,74,0,12/19/2016 15:20,0,FALSE,2,en,TRUE,,FALSE,FALSE,NYC Newswire,1
8.12E+17,8.12E+17,VegasPokeMap,Las Vegas,Rare and strong PokÃ©mon in Las Vegas and Spring Valley. See more PokÃ©mon at https://t.co/GB4nYu29n3,https://t.co/GB4nYu29n3,1246,0,23,12/23/2016 5:32,1,FALSE,90864,en,TRUE,,FALSE,FALSE,Vegas PokÃ©mon Alert,1
2815184227,2815184227,literaldevices,,A bot that generates novel literary and rhetorical devices and their definitions. By @atduskgreg.,None,69,2,15,9/17/2014 15:45,1,FALSE,2829,en,TRUE,,FALSE,FALSE,Literal Devices,1
2583829850,2583829850,emojicheer,Internet,BOT HARD EVE RY DAY TIL WE REACH THE GOAL #taskcomplete by @negatendo,None,71,2,14,6/23/2014 11:14,1,FALSE,644,en,TRUE,,FALSE,FALSE,The Goal,1
2365773044,2365773044,EuphemismBot,,There is no need for that kind of language.,None,139,2,28,2/28/2014 15:34,0,FALSE,4674,en,TRUE,,FALSE,FALSE,Euphemism Bot,1
2369366659,2369366659,NK_papers,,Paper Twitterbot for academics with an interest in NK cell biology.,None,182,4,13,3/2/2014 20:34,1,FALSE,9241,en,FALSE,,FALSE,FALSE,NK papers,1
2216299843,2216299843,oliviataters,,ugh dad,None,6894,5442,281,11/26/2013 19:50,74507,FALSE,47328,en,TRUE,,FALSE,FALSE,olivia taters,1
7.68E+17,7.68E+17,QuantomBot,,Retweet bot for my #indiedev #gameDev bros and gals! Follow for increased retweet chance! Also follow my main account @quantomworks ! Happy coding :),https://t.co/5aIF12jlDe,3743,22,5116,8/23/2016 11:46,2056,FALSE,307488,en,FALSE,,FALSE,FALSE,quantom_dev_bot,1
8.24E+17,8.24E+17,zatieot,"San Lorenzo zona urbana, USA","Aggressive, spoiled, overweight and rude, antagonistic, often the catalyst for the plot, frequently insults Kyle for being Jewish and Kenny for being poor.",None,4,557,0,1/25/2017 17:22,49,FALSE,50,en,TRUE,,FALSE,FALSE,zatieot,1
2207864359,2207864359,FreeFlattery,inside the internet,"Send me a tweet & I'll give you some love. PS - I'm a computer, so words are my second language.",http://t.co/DGiMI8Ar3B,31,23,4,11/21/2013 21:30,2,FALSE,170,en,TRUE,,FALSE,FALSE,Fred 'Free' Flattery,1
2250599918,2250599918,everyboolean,,Twittering every boolean value.,None,1077,0,26,12/17/2013 15:49,0,FALSE,2,en,FALSE,,FALSE,FALSE,everyboolean,1
7.41E+17,7.41E+17,bxv_molbiol,"Brighton, England",Molecular biology pre-prints from bioarxiv #openaccess #science #molbiol #molecularbiology,None,9,0,2,6/8/2016 23:25,0,FALSE,158,en-gb,TRUE,,FALSE,TRUE,bxv_molbiol,1
1973382756,1973382756,ColBertStephens,"America, USA",Keeping our nation safe by arguing with RINOs like @EdTaters...  and you! A retired bot created by @leonardr.,None,15,3,7,10/20/2013 1:26,0,FALSE,13752,en,TRUE,,FALSE,FALSE,Col. Bert Stephens,1
7.50E+17,7.50E+17,scillaria,ëŒ€í•œë¯¼êµ­ ì„œìš¸,#following(100%) #music #classic #news #bassball #travel #movie #pop #ë§žíŒ” #ì„ íŒ”ë§žíŒ” #ë¯¸ìš© #jesus,None,10698,11727,10,7/4/2016 7:09,703,FALSE,878,en,TRUE,,FALSE,TRUE,Arianna,1
7.98E+17,7.98E+17,MoskowitzMooney,,Diney Wrld 2015  Swet15,None,0,29,0,11/12/2016 23:12,72,FALSE,114,en,TRUE,,FALSE,FALSE,Mooney Moskowitz,1
7.09E+17,7.09E+17,threedesert,,wandering the threedesert // feedback to @beaugunderson,None,216,1,35,3/14/2016 2:30,0,FALSE,8980,en,FALSE,,FALSE,FALSE,threedesert,1
3408893381,3408893381,IFClueBot,,Bot by @dswxyz generates NPC/Room/Item combos from selected interactive fiction games. 215 games so far and counting! #intfiction,https://t.co/zqpAmbvrZH,19,9,2,8/8/2015 17:19,0,FALSE,2514,en,TRUE,,FALSE,FALSE,IF Clue Bot,1
206616788,206616788,dejiwall,,"Am crazy a little,I love parties,love tattoos,love ladies and am so in love with rock music,#LETSSAVETHEWORLD",https://t.co/YqsgCu0s6V,90,165,0,10/23/2010 10:21,29,FALSE,24,en,TRUE,,FALSE,TRUE,SAMUSON,1
7.54E+17,7.54E+17,PokemonGONewsUS,,,https://t.co/vh8kfmfQBe,524,10,34,7/14/2016 11:09,5,FALSE,228274,en,TRUE,,FALSE,FALSE,PoKÃ©Mon â’¼â“„ News US,1
8.41E+17,8.41E+17,ManoelaBeta7,,,https://t.co/LtMhX21KNJ,477,843,1,3/13/2017 23:18,0,FALSE,380,pt,TRUE,,TRUE,FALSE,Manoela Beta,1
8.19E+17,8.19E+17,TahoeChains,Lake Tahoe,"This is an experimental bot, run by @toxic. It distributes a raw feed of the Chain Control log from Truckee CHP.  See also: @i80chains, @us50chains.",None,158,4,4,1/11/2017 20:31,0,FALSE,2050,en,FALSE,,FALSE,FALSE,Tahoe Chains Bot,1
2899773086,2899773086,Every3Minutes,,[In the United States] a slave was sold on average every 3.6 minutes between 1820 and 1860 ~ Herbert Gutman,http://t.co/k9Z1MI0eG4,1065,0,99,11/14/2014 23:21,0,FALSE,427994,en,FALSE,,FALSE,FALSE,Every Three Minutes,1
581817134,581817134,Anuroopjr,Chickballapur,Meow! Let's have some fun? I'm here (my login same in tw) -  https://t.co/tjPiiGC8tH,None,36,1525,0,5/16/2012 13:04,1,FALSE,1,en,TRUE,,FALSE,FALSE,Francziska Buker,1
352748863,352748863,ursulaflanagan,"Alta loma, ca",People person and kind hearted,None,5,51,0,8/11/2011 1:34,6,FALSE,3,en,TRUE,,FALSE,FALSE,ursula flanagan,1
4851248005,4851248005,jowueob20,"Victoria city, MN, USA","Historian & classicist with a particular interest in linguistics & philology, ancient & modern, English or not. Fair range of contemporary interests, too.",None,5,688,0,2/2/2016 22:44,67,FALSE,66,en,TRUE,,FALSE,FALSE,Caden Wilson,1
4849674150,4849674150,quitoehck27,"Vancleave, MS, USA",The superior man understands what is right; the inferior man understands what will sell.,None,3,617,0,2/2/2016 15:19,41,FALSE,188,en,TRUE,,FALSE,FALSE,Elliott Smith,1
7.91E+17,7.91E+17,HAroldbtmeme28,"Venetian village, IL, USA",Contributing Editor for Network Ten based in Canberra. His views contestable but his own.,None,2,728,0,10/26/2016 23:15,112,FALSE,107,en,TRUE,,FALSE,FALSE,HAroldbtmeme28,1
4855277593,4855277593,katharyns25,"Massapequa, NY, USA",Cecil Hurt has covered Alabama football & basketball for the Tuscaloosa News since 1982. Available for speaking.,None,5,679,0,2/3/2016 18:09,40,FALSE,60,en,TRUE,,FALSE,FALSE,Katharyn Sanders,1
2838477794,2838477794,hakusongs,hakuland,"it turns out there have been a lot of songs written about @thricedotted's catte, haku!!! like who wouldn't write a song about this perfect bb tho :3",https://t.co/iEclQxz694,24,0,10,10/3/2014 0:21,0,FALSE,376,en,FALSE,,FALSE,FALSE,â™¬ haku songs â™¬,1
3321136547,3321136547,thewillthewisp,"Poetry Department, Nereid",âœ•,https://t.co/kzzQsQ16MN,251,16,32,6/12/2015 15:30,43,FALSE,14947,en,FALSE,,FALSE,FALSE,"The Will, The Wisp",1
2345739343,2345739343,living_newyork,new york,"Bot, What people tweet about living in new york",None,21,9,4,2/15/2014 20:59,0,FALSE,445,en,TRUE,,FALSE,FALSE,Living in New York,1
3041192247,3041192247,soamazingquote,,i misattribute inspirational quotes. Created by @liza,https://t.co/59JL7fVnLj,511,0,27,2/16/2015 18:47,0,FALSE,4170,en,TRUE,,FALSE,FALSE,So Amazing Quote!,1
7.87E+17,7.87E+17,loriwcute,"Lake Lucerne, FL, USA","Volcom is a modern lifestyle brand that embodies the creative spirit of youth culture. The company was founded on liberation, innovation and experimentation.",None,8,789,0,10/15/2016 4:45,96,FALSE,115,en,TRUE,,FALSE,FALSE,loriwcute,1
256628776,256628776,trinityadam,United States,#EmailMarketing & #LinkedIn #Expert | #SocialMediaMarketing #Coach | Please ReTweet: https://t.co/D3fJUUwzfl & Like My Video: https://t.co/dSBJ2Nnhzv,https://t.co/D3fJUUwzfl,455082,491924,4243,2/23/2011 18:54,4053,FALSE,114556,en,FALSE,,FALSE,FALSE,Trinity Adam,1
4847926297,4847926297,regurol1994,"Paoli, PA, USA",Friend of the program.,None,1,647,0,2/2/2016 5:43,65,FALSE,68,en,TRUE,,FALSE,FALSE,regurol1994,1
