screen_name	bot		screen_name
WizardGenerator	1		HaikuMurakami
bouquetbot	1		Clippy_exe
astronaut_bot	1		fullmetaliberty
censusAmericans	1		cancerSL
tibbits_marcus	1		phylogeo_papers
3461holley	1		asdfghjkl0l2
isu_bot2_fs	1		sexyeveryword
HaikuMurakami	1		hortensiadicke3
Clippy_exe	1		Sexkitten0422
fullmetaliberty	1		kanyejordan
cancerSL	1		someboxes
phylogeo_papers	1		mahireyvazov
asdfghjkl0l2	1		mlegoudes262
sexyeveryword	1		1lovetakes2
hortensiadicke3	1		coolbot420
Sexkitten0422	1		topbiopapers
kanyejordan	1		STaafunnyx
someboxes	1		bionet_papers
mahireyvazov	1		pizzaclones
mlegoudes262	1		DistractedGenie
1lovetakes2	1		space_stories
coolbot420	1		CantorLogical
topbiopapers	1		sg_ebooks
STaafunnyx	1		scientificpaper
bionet_papers	1		biorxiv_genomic
pizzaclones	1		scdicaprio
DistractedGenie	1		allemptysets
space_stories	1		thedismalblog
CantorLogical	1		ahouseofdust
sg_ebooks	1		NY_Now
scientificpaper	1		_LostBuoy_
biorxiv_genomic	1		spear_one
scdicaprio	1		kordeidangerouz
allemptysets	1		andrewhuangbot
thedismalblog	1		AllTheCheeses
ahouseofdust	1		fly_papers
NY_Now	1		Suarez06356267
_LostBuoy_	1		Eyescaler
spear_one	1		soeqaib
kordeidangerouz	1		AllOilPainting
andrewhuangbot	1		SmoothUnicode
AllTheCheeses	1		charand522
fly_papers	1		CultEvoBot
Suarez06356267	1		SAmallenxx18
Eyescaler	1		beiwiqe25
soeqaib	1		helpmeetgoal
AllOilPainting	1		chinesphere
SmoothUnicode	1		xbangtan1
charand522	1		eachtown
CultEvoBot	1		NixieBot
SAmallenxx18	1		Zzt_ebooks
beiwiqe25	1		angelia_irr
helpmeetgoal	1		NaiveAnswers
chinesphere	1		biofilmPapers
xbangtan1	1		baeksehuniie
eachtown	1		TwoHeadlines
NixieBot	1		sponge_papers
Zzt_ebooks	1		CitiBikeDocks
angelia_irr	1		likeuberbut
NaiveAnswers	1		beefl96
biofilmPapers	1		GoogleFacts
baeksehuniie	1		vox_ebooks
TwoHeadlines	1		synbio_papers
sponge_papers	1		nice_tips_bot
CitiBikeDocks	1		quantifiedinky
likeuberbut	1		ididmorepushups
beefl96	1		assignments_txt
GoogleFacts	1		TwitterMovies
vox_ebooks	1		lixoxept96
synbio_papers	1		BotMtGFlavor
nice_tips_bot	1		DSWalsh6
quantifiedinky	1		XsGonnaX
ididmorepushups	1		Fact
assignments_txt	1		reverseocr
TwitterMovies	1		anamariaq27
lixoxept96	1		litoraptor
BotMtGFlavor	1		colorschemez
DSWalsh6	1		startup_o_matic
XsGonnaX	1		Joey_Cartero
Fact	1		1pRsHsia8WbmoD7
reverseocr	1		menubot
anamariaq27	1		BioCodePapers
litoraptor	1		gorillacities
colorschemez	1		SydneyPogoMap
startup_o_matic	1		JpTeixeira01
Joey_Cartero	1		CRISPR_papers
1pRsHsia8WbmoD7	1		suavkog95
menubot	1		TrevisanOlympia
BioCodePapers	1		ProtasMerrill
gorillacities	1		not_a_cop_bot
SydneyPogoMap	1		MltplSclppr
JpTeixeira01	1		theDesireBot
CRISPR_papers	1		VillanelleBot
SluttySara	1		USPRI
suavkog95	1		ideabot
rosalinemckeit4	1		BadArtThief
eatdicks4health	1		fuckingbard
TrevisanOlympia	1		pixelsorter
ProtasMerrill	1		ThreeCourseMeal
not_a_cop_bot	1		Keifer67684948
FollowNoire	1		artassignbot
MltplSclppr	1		botsummittalks
theDesireBot	1		ZinaJ26
VillanelleBot	1		zopuolond93
USPRI	1		eAgreeTeam
ideabot	1		EnjoyTheFilm
BadArtThief	1		_DJ_3000_
fuckingbard	1		sunsetonari
pixelsorter	1		infinitedeserts
ThreeCourseMeal	1		jonttxoxoa
Keifer67684948	1		emojidreams
artassignbot	1		CutePetsDenver
botsummittalks	1		porcadapalabra
ZinaJ26	1		MelPogoMap
zopuolond93	1		SimGenerator
eAgreeTeam	1		suaj30
EnjoyTheFilm	1		YouAreCarrying
_DJ_3000_	1		Hollon1120
sunsetonari	1		zackeryssuperz
infinitedeserts	1		RNAi_papers
jonttxoxoa	1		mrsfishsfunkys
emojidreams	1		LilSpellbook
CutePetsDenver	1		theIntialCommit
porcadapalabra	1		brainchatbot
MelPogoMap	1		henrysalomonlo1
SimGenerator	1		RealHumanPraise
suaj30	1		CarminaO29
YouAreCarrying	1		oiltrading_blog
Hollon1120	1		rireljbeq
zackeryssuperz	1		lepage155
RNAi_papers	1		_OutToSea_
mrsfishsfunkys	1		freefollow20071
LilSpellbook	1		sitcom_o_matic
theIntialCommit	1		SortingBot
brainchatbot	1		zorinlynx
henrysalomonlo1	1		TurnsOutBot
RealHumanPraise	1		randomRTBot
CarminaO29	1		ca_props_exe
oiltrading_blog	1		notallbots
rireljbeq	1		solidstateNMR
lepage155	1		Abbeyafb2017
_OutToSea_	1		PmapAarhus
freefollow20071	1		NutcrackerRedux
sitcom_o_matic	1		MindaHjello19
SortingBot	1		plzasm
zorinlynx	1		randomchordbot
TurnsOutBot	1		RylGme
randomRTBot	1		SendNudes1099
ca_props_exe	1		ANH_Papers
JackTheAts	1		PatriciaPlake
notallbots	1		wildflowersbot
solidstateNMR	1		bobbysmith1189
Abbeyafb2017	1		king_chrisg10
PmapAarhus	1		TodayFinally
NutcrackerRedux	1		NarutoFans_Indo
MindaHjello19	1		everysnake
plzasm	1		SlideSource
randomchordbot	1		thinkpiecebot
RylGme	1		5hmC_papers
SendNudes1099	1		botswifty
ANH_Papers	1		PleaseRapAbout
PatriciaPlake	1		scaevans25
wildflowersbot	1		thewaybot
bobbysmith1189	1		FalseFlagBot_
king_chrisg10	1		AusGLAMBlogs
TinaStreet2	1		PlayLightsOut
TodayFinally	1		PubSnips
NarutoFans_Indo	1		WhatTheFare
everysnake	1		JEL_O_bot
SlideSource	1		bioinfo_papers
thinkpiecebot	1		5oclockbot
5hmC_papers	1		HPricea93
botswifty	1		nievesgilbert11
PleaseRapAbout	1		tyylleerrjjjjo
scaevans25	1		iaminigomontoya
thewaybot	1		wikisext
FalseFlagBot_	1		everyadage
AusGLAMBlogs	1		youareherebot
PlayLightsOut	1		blank_was_blank
PubSnips	1		INTERESTING_JPG
WhatTheFare	1		hotsootuff_bot
JEL_O_bot	1		franklin_pmiami
bioinfo_papers	1		4myrealfriends
5oclockbot	1		wearable_things
Circaenergy	1		WeirdConvoBot
HPricea93	1		GameDesign101
nievesgilbert11	1		cummingforlrh
tyylleerrjjjjo	1		ReligiousRumors
iaminigomontoya	1		ceback84
wikisext	1		lists_of_lists
everyadage	1		hollowking360
youareherebot	1		RosesAreRedBot
blank_was_blank	1		1995Internet
INTERESTING_JPG	1		everypunk
hotsootuff_bot	1		sleeps_xmas
franklin_pmiami	1		angelikaparnell
4myrealfriends	1		MythologyButt
wearable_things	1		worstvsworst
WeirdConvoBot	1		wizarding_names
ÓATVI_ABÒ	1		oldschoolflyers
GameDesign101	1		StarttCallaghan
cummingforlrh	1		TXTADVNT_EXE
ReligiousRumors	1		mutilda
ceback84	1		Raffaelo14
lists_of_lists	1		drow_yreve
hollowking360	1		CompBiolPapers
RosesAreRedBot	1		NetflixSoundFX
1995Internet	1		NYPLphotobot
everypunk	1		a_xing_ebooks
sleeps_xmas	1		microRNA_papers
angelikaparnell	1		ItCantFail
MythologyButt	1		100yearsrising
worstvsworst	1		dnstats_agora
wizarding_names	1		haikuthegibson
oldschoolflyers	1		pearwin96
StarttCallaghan	1		hapaxhegemon
TXTADVNT_EXE	1		AnnaLoz42522982
mutilda	1		westlife1219
Raffaelo14	1		othello3579
drow_yreve	1		botarchaeo
CompBiolPapers	1		mjvocals
NetflixSoundFX	1		mekhislo
NYPLphotobot	1		faapaednt24
a_xing_ebooks	1		WUedsefnd25
microRNA_papers	1		sextmanteau_bot
ItCantFail	1		corporabrackets
100yearsrising	1		PokeAlertMalmo
dnstats_agora	1		WrongRobot
haikuthegibson	1		CloudyConway
pearwin96	1		CyberEveryword
hapaxhegemon	1		shea_leesa
AnnaLoz42522982	1		nostrich_ebooks
westlife1219	1		RenPeralta23
othello3579	1		_The_Thief
botarchaeo	1		botanicalls
mjvocals	1		NicenessBot
mekhislo	1		itsthisyear
faapaednt24	1		LettsScience
WUedsefnd25	1		AkashLahuKale7
sextmanteau_bot	1		MusicReviewBot
corporabrackets	1		botALLY
PokeAlertMalmo	1		Opportunitweets
WrongRobot	1		BecauseBot
CloudyConway	1		scheideggermaia
CyberEveryword	1		thedreamstream
shea_leesa	1		_primes_
nostrich_ebooks	1		ShakirVip
RenPeralta23	1		TwoJournalists
_The_Thief	1		DrAngryBot
botanicalls	1		howxisthatybot
NicenessBot	1		nz_quake
itsthisyear	1		OwenPallettSwap
LettsScience	1		mental_floss
AkashLahuKale7	1		lawandorderexo
MusicReviewBot	1		ChIP_seq
botALLY	1		LegoSpaceBot
Opportunitweets	1		judgxx
BecauseBot	1		muejiiz1991
scheideggermaia	1		dwightmitchellz
thedreamstream	1		exoslash
_primes_	1		trendagainst
ShakirVip	1		RestroomGender
storum_alona	1		jansfarmera
yannalynn29	1		laobadengni
TwoJournalists	1		Gravity_Ireland
DrAngryBot	1		HEoxt25
howxisthatybot	1		EquestrianBot
nz_quake	1		NailbiterBot
OwenPallettSwap	1		edrad90
mental_floss	1		fluffmaster7000
lawandorderexo	1		TinyCrossword
ChIP_seq	1		businessman_exe
LegoSpaceBot	1		supervocalic
judgxx	1		BioinformaticsP
muejiiz1991	1		AvengerEngineer
dwightmitchellz	1		flippedconcept
exoslash	1		rulesofcards
trendagainst	1		TransxnNoiseBot
RestroomGender	1		future_junk
jansfarmera	1		JusticeUmoren
laobadengni	1		follow3dcliff
Gravity_Ireland	1		johnettaj26
HEoxt25	1		metagenomics
EquestrianBot	1		choochoobot
NailbiterBot	1		mdmorrisx84
edrad90	1		goldenratiobot
fluffmaster7000	1		ionxhsuper
TinyCrossword	1		sRNAPapers
businessman_exe	1		winter_py
supervocalic	1		saikoa0709
BioinformaticsP	1		BMPBug
AvengerEngineer	1		NeuroGen_papers
flippedconcept	1		statementartist
rulesofcards	1		pooledseq
TransxnNoiseBot	1		lesliehandsome
future_junk	1		RedScareBot
JusticeUmoren	1		AnimalVidBot
follow3dcliff	1		classifybot
johnettaj26	1		fontcriticbot
metagenomics	1		QIMRBergh_pubs
choochoobot	1		swimwear_
mdmorrisx84	1		TC_papers
goldenratiobot	1		Inspire_Us
ionxhsuper	1		LatinaEisenhow1
sRNAPapers	1		joaxt1985
winter_py	1		RemarqueNYU
saikoa0709	1		HanuAcademy
BMPBug	1		swear_bot
NeuroGen_papers	1		GIFsofWikipedia
statementartist	1		RoboRosewater
pooledseq	1		MacyJordan4
lesliehandsome	1		Slam140
RedScareBot	1		ColorADayBot
AnimalVidBot	1		Indie_Dev_Bot
classifybot	1		donniensdroopyi
fontcriticbot	1		aDNA_papers
QIMRBergh_pubs	1		CointraqBot
swimwear_	1		_posibot
TC_papers	1		Larissa_W28
Inspire_Us	1		LifehackLifehax
LatinaEisenhow1	1		InstrumentBot
joaxt1985	1		DifferenceJoke
RemarqueNYU	1		acrotowne
HanuAcademy	1		raviraju88
swear_bot	1		AddAWordBot
GIFsofWikipedia	1		vike29
RoboRosewater	1		GraphicScoreBot
MacyJordan4	1		johnhall
Slam140	1		OMG_wikipedia
ColorADayBot	1		flahertymiragl2
Indie_Dev_Bot	1		SherriLucio
donniensdroopyi	1		abotcalledquest
aDNA_papers	1		metaphorminute
CointraqBot	1		aportraitofthe
_posibot	1		Na1U1AX56WrkBSc
Larissa_W28	1		LevelMccune
LifehackLifehax	1		Tanya2558
InstrumentBot	1		zionb22
DifferenceJoke	1		JEveryword
acrotowne	1		PedanticMagick
raviraju88	1		janicerogersz
AddAWordBot	1		emojidoll
vike29	1		blahfuture
GraphicScoreBot	1		mnemosynetron
johnhall	1		cyclicdigmp
OMG_wikipedia	1		Billy_W83
flahertymiragl2	1		qaefr83
SherriLucio	1		60008d2f8baa4d9
abotcalledquest	1		likesfrombutera
metaphorminute	1		Acrostician
aportraitofthe	1		forgetmebot
Na1U1AX56WrkBSc	1		yes_ofc
LevelMccune	1		botsburgers
Tanya2558	1		maryland_vernon
zionb22	1		coopaula_reedxx
JEveryword	1		justdidathing
PedanticMagick	1		realdinogenera
janicerogersz	1		letsgovelo
emojidoll	1		HottestStartups
blahfuture	1		sabo_sabo21
mnemosynetron	1		foodie_dems
cyclicdigmp	1		spiraesthetic
bangbangari9	1		deandeandremwri
Billy_W83	1		Rachelyxxxx
qaefr83	1		Georgia98208
60008d2f8baa4d9	1		fantasticColinf
likesfrombutera	1		theveryword
Acrostician	1		NerdGarbageBot
forgetmebot	1		RamboRushes
yes_ofc	1		jHYtseBot
botsburgers	1		apparent_things
maryland_vernon	1		Unicode_ebooks
coopaula_reedxx	1		biorxiv_ecology
justdidathing	1		GenreMasher
jggcpczhdys684	1		auto_automata
realdinogenera	1		fuckeveryword
letsgovelo	1		VerifiedBioBot
HottestStartups	1		ImportantAnimal
sabo_sabo21	1		AU_Prompts
foodie_dems	1		makarovwhc1994
spiraesthetic	1		butwithguns
deandeandremwri	1		cookeryBliss
Rachelyxxxx	1		man_products
AnaiaaYh92naj	1		adjectives_bot
Georgia98208	1		vitamin_A_paper
fantasticColinf	1		realNYCbot
theveryword	1		zguo0115_USyd
NerdGarbageBot	1		lettergamebot
RamboRushes	1		Immunol_papers
jHYtseBot	1		jam_allenxx
apparent_things	1		Mzredd2K16
Unicode_ebooks	1		koiseujn20
biorxiv_ecology	1		ahmedmobarkqw
GenreMasher	1		YoJSRr9J58SE6Zz
FreeFollows429	1		IMG2ASCII
auto_automata	1		genomeguardian
fuckeveryword	1		mcleanaitenbic2
VerifiedBioBot	1		FailureIsOK
ImportantAnimal	1		pokemon_sokuho
AU_Prompts	1		IT_papers
makarovwhc1994	1		JadenLuAJ
butwithguns	1		the_ephemerides
cookeryBliss	1		Dentagama
man_products	1		NRPS_papers
adjectives_bot	1		spellwithout
vitamin_A_paper	1		EdTaters
realNYCbot	1		ghost_things
zguo0115_USyd	1		SilviaCeausu
lettergamebot	1		lois_caskey
Immunol_papers	1		wadinfo_txt
jam_allenxx	1		amiibo_oracle
Mzredd2K16	1		taizeutl1995
koiseujn20	1		PROGRAMR_BAT
ahmedmobarkqw	1		ebooks_goetia
YoJSRr9J58SE6Zz	1		SRMicro_papers
IMG2ASCII	1		BenghaziWord
genomeguardian	1		Janalamar35
mcleanaitenbic2	1		manygardens
FailureIsOK	1		viralhulk
pokemon_sokuho	1		hold_thepresses
IT_papers	1		racismdetector
JadenLuAJ	1		sailorclones
the_ephemerides	1		colombia_bot
Dentagama	1		ebo_hayes
NRPS_papers	1		jrr9bNVRCcUXfa1
spellwithout	1		lava_mite
EdTaters	1		WWE_Network_Bot
ghost_things	1		ROBODRUDGE
SilviaCeausu	1		infinite_scream
lois_caskey	1		TF_binding_bot
wadinfo_txt	1		EMR_research
amiibo_oracle	1		wikishoutouts
taizeutl1995	1		Exome_seq
PROGRAMR_BAT	1		rrsarq
ebooks_goetia	1		b2a6813979744ac
SRMicro_papers	1		Ferguson2426
BenghaziWord	1		keci256
Janalamar35	1		screen_name
manygardens	1		guijaoml
viralhulk	1		theseraps
hold_thepresses	1		FordPinesBot
racismdetector	1		untag_me
sailorclones	1		magicpixx
colombia_bot	1		alertmessages
ebo_hayes	1		stevinbeijing
jrr9bNVRCcUXfa1	1		kaylawillis258
lava_mite	1		GRahamwbeeey
WWE_Network_Bot	1		HeroGraveyard
ROBODRUDGE	1		big_ben_clock
infinite_scream	1		ismail_abaid
TF_binding_bot	1		Tink0074
EMR_research	1		Taimanglo2526
wikishoutouts	1		WYR_bot
Exome_seq	1		GregorybBcreati
rrsarq	1		benjamin_ha2005
b2a6813979744ac	1		_ku_bot
Ferguson2426	1		YouLookNiceBot
keci256	1		hotspot_papers
drake_schanae	1		Exosaurs
guijaoml	1		muahaha_bot
theseraps	1		AnoncoinPrice
FordPinesBot	1		nope_nooope
untag_me	1		mrwrongbot
magicpixx	1		MassBudgetBot
alertmessages	1		biorxiv_cancer
stevinbeijing	1		yosefo25
kaylawillis258	1		Adamhuzz
GRahamwbeeey	1		abretonoa
HeroGraveyard	1		LACMAbot
big_ben_clock	1		SubbaEric
ismail_abaid	1		FuckYeahIrony
Tink0074	1		JackMax002
